group,artifact,type,script,input_data,output,processed_output,statistics
main,rk3588_yolov8n_fft_1536kb_motivation,figure,scripts/response_time/main/plot_yolov8n_motivation1_fft.py,data/response_time/main/rk3588/result_yolov8n_FFT/,figures/main/rk3588_yolov8n_fft_1536kb_motivation.{pdf|png},figures/main/rk3588_yolov8n_fft_1536kb_data.csv,Arithmetic mean and sample standard deviation (ddof=1)
main,rk3588_yolov8n_tresp_jitter_motivation2_3,figure,scripts/response_time/main/plot_yolov8n_motivation2_3.py,data/response_time/main/rk3588/result_yolov8n/,figures/main/rk3588_yolov8n_tresp_jitter_motivation2_3.{pdf|png},figures/main/rk3588_yolov8n_tresp_jitter_motivation2_3_data.csv,Last complete RTOS block in each accepted run
main,sf_item_sweep_rk3588_rk3568,figure,scripts/snoop_filter/plot_cross_platform_low23_threefig.py,data/snoop_filter/,figures/main/sf_item_sweep_rk3588_rk3568.{pdf|png|svg},figures/main/sf_item_sweep_rk3588_rk3568_data.csv,Allocation-level median with min-max envelope
main,sf_single_bit_rk3588_rk3568,figure,scripts/snoop_filter/plot_cross_platform_low23_threefig.py,data/snoop_filter/,figures/main/sf_single_bit_rk3588_rk3568.{pdf|png|svg},figures/main/sf_single_bit_rk3588_rk3568_data.csv,Within-allocation pass mean then allocation median with min-max envelope
main,sf_rk3588_pa17_16_color_matrix,figure,scripts/snoop_filter/plot_cross_platform_low23_threefig.py,data/snoop_filter/rk3588/pa17_16_five_allocations/,figures/main/sf_rk3588_pa17_16_color_matrix.{pdf|png|svg},figures/main/sf_rk3588_pa17_16_color_matrix_data.csv,Repetition-weighted allocation value then median/min-max across allocations
main,sf_rk3568_pa14_13_color_matrix,figure,scripts/snoop_filter/plot_cross_platform_low23_threefig.py,data/snoop_filter/rk3568/low23_threefig_five_allocations/,figures/main/sf_rk3568_pa14_13_color_matrix.{pdf|png|svg},figures/main/sf_rk3568_pa14_13_color_matrix_data.csv,Repetition-weighted allocation value then median/min-max across allocations
main,rk3588_rk3568_jresp_1000Hz_2x2,figure,scripts/response_time/main/plot_jresp_1000hz_bootstrap_ci.py,data/response_time/main/{rk3588|rk3568}/results/,figures/main/rk3588_rk3568_jresp_1000Hz_2x2.{pdf|png},figures/main/rk3588_rk3568_jresp_1000Hz_2x2_bootstrap95ci_data.csv,Run median and 20000-resample percentile bootstrap 95% interval for n>=5
main,rk3588_rk3568_tresp_ccdf_1000Hz_16MiB_2x2,figure,scripts/response_time/main/plot_tresp_ccdf_1000hz_16mb.py,data/response_time/main/{rk3588|rk3568}/results/,figures/main/rk3588_rk3568_tresp_ccdf_1000Hz_16MiB_2x2.{pdf|png},figures/main/rk3588_rk3568_tresp_ccdf_1000Hz_16MiB_2x2_data.csv,Normalized reverse cumulative count from pooled complete-run histograms
main,rk3588_pmu_1000Hz_2x3,figure,scripts/response_time/main/plot_3588_pmu_1000hz.py,data/response_time/main/rk3588/results/,figures/main/rk3588_pmu_1000Hz_2x3.{pdf|png},,Median across accepted complete runs per cell
main,rk3588_1000hz_ablation_sensitivity_tresp_1x4,figure,scripts/response_time/main/plot_ablation_sensitivity_3588.py,data/response_time/main/rk3588/results/,figures/main/rk3588_1000hz_ablation_sensitivity_tresp_1x4.{pdf|png},figures/main/rk3588_1000hz_ablation_sensitivity_tresp_1x4_values.csv,Median/minimum/maximum across accepted complete runs per cell
appendix,fig_a1_itemsweep_latency_and_pmu,figure,scripts/appendix/rk3568_attribution/plot_appendix.py,data/rk3568_attribution/raw/five_allocations/,figures/appendix/rk3568_attribution/fig_a1_itemsweep_latency_and_pmu.{pdf|png|svg},data/rk3568_attribution/processed/itemsweep_all_conditions.csv,Allocation-level median with min-max envelope
appendix,rk3588_rk3568_jresp_100Hz_2x2,figure,scripts/response_time/low_rate/plot_jresp_100_10hz_single_run.py,data/response_time/low_rate/{rk3588|rk3568}/results/,figures/appendix/response_time/rk3588_rk3568_jresp_100Hz_2x2.{pdf|png},figures/appendix/response_time/rk3588_rk3568_jresp_100Hz_2x2_single_run_data.csv,One selected complete run per cell; no confidence interval claimed
appendix,rk3588_rk3568_jresp_10Hz_2x2,figure,scripts/response_time/low_rate/plot_jresp_100_10hz_single_run.py,data/response_time/low_rate/{rk3588|rk3568}/results/,figures/appendix/response_time/rk3588_rk3568_jresp_10Hz_2x2.{pdf|png},figures/appendix/response_time/rk3588_rk3568_jresp_10Hz_2x2_single_run_data.csv,One selected complete run per cell; no confidence interval claimed
appendix,rk3588_100Hz_ablation_sensitivity_tresp_1x4,figure,scripts/response_time/low_rate/plot_ablation_sensitivity_3588.py,data/response_time/low_rate/rk3588/results/,figures/appendix/response_time/rk3588_100Hz_ablation_sensitivity_tresp_1x4.{pdf|png},figures/appendix/response_time/rk3588_100_10Hz_ablation_sensitivity_tresp_values.csv,One selected complete run per cell
appendix,rk3588_10Hz_ablation_sensitivity_tresp_1x4,figure,scripts/response_time/low_rate/plot_ablation_sensitivity_3588.py,data/response_time/low_rate/rk3588/results/,figures/appendix/response_time/rk3588_10Hz_ablation_sensitivity_tresp_1x4.{pdf|png},figures/appendix/response_time/rk3588_100_10Hz_ablation_sensitivity_tresp_values.csv,One selected complete run per cell
appendix,table_itemsweep_key_points,table,scripts/appendix/rk3568_attribution/plot_appendix.py,data/rk3568_attribution/raw/five_allocations/,tables/rk3568_attribution/table_itemsweep_key_points.csv,data/rk3568_attribution/processed/itemsweep_all_conditions.csv,Selected X values from allocation median/minimum/maximum summary
appendix,table_x16_conditions,table,scripts/appendix/rk3568_attribution/plot_appendix.py,data/rk3568_attribution/raw/five_allocations/,tables/rk3568_attribution/table_x16_conditions.tex,data/rk3568_attribution/processed/itemsweep_all_conditions.csv,Median cycles and PMU incidence at X=16
supplementary,fig_s1_rk3568_bit_item_25panel,figure,scripts/supplementary/rk3568_bit_item/plot_bit_item_25panel.py,data/supplementary/rk3568_bit_item/rk3568_bit_item_run01.csv,figures/supplementary/fig_s1_rk3568_bit_item_25panel.{pdf|png|svg},figures/supplementary/fig_s1_rk3568_bit_item_25panel_data.csv,Five-pass median with pass min-max envelope; single allocation
