stimulus_items,condition,allocations,median_latency,min_latency,max_latency,median_l1d_refill,min_l1d_refill,max_l1d_refill,median_tlb_refill,min_tlb_refill,max_tlb_refill,median_ll_miss,min_ll_miss,max_ll_miss,median_l1d_refill_events_per_window,min_l1d_refill_events_per_window,max_l1d_refill_events_per_window,median_tlb_refill_events_per_window,min_tlb_refill_events_per_window,max_tlb_refill_events_per_window,median_ll_miss_events_per_window,min_ll_miss_events_per_window,max_ll_miss_events_per_window
0,same_candidate,5,27.0,27.0,27.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.002,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.001
0,same_baseline,5,28.0,28.0,29.0,0.2,0.0,0.3,0.0,0.0,0.0,0.1,0.1,0.2,0.002,0.0,0.003,0.0,0.0,0.0,0.001,0.001,0.002
0,cross_candidate,5,27.0,27.0,27.0,1.0,0.3,2.8,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.003,0.028,0.0,0.0,0.0,0.0,0.0,0.001
0,cross_baseline,5,27.0,27.0,27.0,1.7,0.7,2.6,0.0,0.0,0.0,0.1,0.0,0.2,0.017,0.007,0.026,0.0,0.0,0.0,0.001,0.0,0.006
1,same_candidate,5,28.0,28.0,28.0,1.9,1.2,2.7,0.0,0.0,0.0,0.0,0.0,0.2,0.019,0.014,0.027,0.0,0.0,0.0,0.0,0.0,0.002
1,same_baseline,5,30.0,29.0,30.0,0.2,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.002,0.0,0.005,0.0,0.0,0.0,0.001,0.0,0.001
1,cross_candidate,5,27.0,27.0,27.0,2.0,1.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.036,0.0,0.0,0.0,0.0,0.0,0.0
1,cross_baseline,5,27.0,27.0,28.0,3.3,1.3,5.1,0.0,0.0,0.0,0.1,0.1,0.2,0.033,0.013,0.051,0.0,0.0,0.0,0.004,0.002,0.005
2,same_candidate,5,29.0,29.0,30.0,5.4,3.2,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.054,0.032,0.071,0.0,0.0,0.0,0.0,0.0,0.002
2,same_baseline,5,31.0,30.0,31.0,0.4,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.2,0.004,0.001,0.013,0.0,0.0,0.0,0.0,0.0,0.004
2,cross_candidate,5,27.0,27.0,27.0,3.7,1.9,4.5,0.0,0.0,0.0,0.0,0.0,0.3,0.037,0.019,0.045,0.0,0.0,0.0,0.0,0.0,0.004
2,cross_baseline,5,28.0,27.0,28.0,4.5,1.7,5.8,0.0,0.0,0.0,0.2,0.1,0.2,0.045,0.017,0.058,0.0,0.0,0.0,0.002,0.001,0.004
3,same_candidate,5,60.0,60.0,60.0,97.2,97.0,97.8,0.0,0.0,0.0,0.2,0.1,0.3,0.977,0.971,0.991,0.0,0.0,0.0,0.002,0.001,0.003
3,same_baseline,5,32.0,30.0,32.0,0.7,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.2,0.007,0.0,0.02,0.0,0.0,0.0,0.001,0.001,0.002
