frequency_hz,method,group,ratio,gpos_vmbytes,runs,t2_max,avg_l2_inval,avg_l2_refill,avg_ll_miss_rd
100,Baseline,Baseline,,128K,1,34.17,0.0,4.49,9.69
100,Baseline,Baseline,,256K,1,34.17,0.0,4.32,9.63
100,Baseline,Baseline,,512K,1,34.75,0.03,4.25,9.23
100,Baseline,Baseline,,1M,1,34.96,3.31,4.4,10.16
100,Baseline,Baseline,,2M,1,33.92,353.94,7.97,13.88
100,Baseline,Baseline,,4M,1,35.29,1698.81,18.64,50.18
100,Baseline,Baseline,,8M,1,42.67,17422.07,64.33,127.56
100,Baseline,Baseline,,16M,1,42.46,21161.56,71.2,135.54
100,Baseline,Baseline,,32M,1,47.21,19564.84,70.36,133.4
100,Baseline,Baseline,,64M,1,47.67,19649.51,71.8,136.09
100,Baseline,Baseline,,128M,1,46.96,19433.66,71.31,134.24
100,Baseline,Baseline,,256M,1,47.71,18961.45,70.27,131.99
100,SP,Set Partition,,128K,1,34.5,0.01,6.17,15.5
100,SP,Set Partition,,256K,1,34.79,0.01,6.23,15.86
100,SP,Set Partition,,512K,1,34.67,0.01,6.18,15.8
100,SP,Set Partition,,1M,1,35.17,0.08,6.21,15.88
100,SP,Set Partition,,2M,1,35.21,8.04,6.47,16.18
100,SP,Set Partition,,4M,1,35.33,471.88,14.52,27.7
100,SP,Set Partition,,8M,1,44.25,3377.6,33.09,78.64
100,SP,Set Partition,,16M,1,49.5,4643.96,39.78,84.63
100,SP,Set Partition,,32M,1,49.21,4289.92,38.37,80.3
100,SP,Set Partition,,64M,1,49.71,4027.38,37.75,80.31
100,SP,Set Partition,,128M,1,49.25,4216.87,37.91,79.19
100,SP,Set Partition,,256M,1,49.5,4033.66,37.53,78.5
100,TaskColoring 1/4,TaskColoring,1/4,128K,1,32.58,0.0,0.54,1.55
100,TaskColoring 1/4,TaskColoring,1/4,256K,1,32.5,0.0,0.53,1.43
100,TaskColoring 1/4,TaskColoring,1/4,512K,1,32.54,0.01,0.54,1.52
100,TaskColoring 1/4,TaskColoring,1/4,1M,1,32.42,0.69,0.54,1.59
100,TaskColoring 1/4,TaskColoring,1/4,2M,1,33.54,36.47,0.81,1.96
100,TaskColoring 1/4,TaskColoring,1/4,4M,1,34.25,762.45,5.66,11.97
100,TaskColoring 1/4,TaskColoring,1/4,8M,1,41.21,15075.34,59.37,111.71
100,TaskColoring 1/4,TaskColoring,1/4,16M,1,44.63,16627.12,68.18,127.42
100,TaskColoring 1/4,TaskColoring,1/4,32M,1,45.13,15326.12,67.31,124.19
100,TaskColoring 1/4,TaskColoring,1/4,64M,1,45.21,15261.39,67.34,123.9
100,TaskColoring 1/4,TaskColoring,1/4,128M,1,44.46,15292.48,66.48,120.64
100,TaskColoring 1/4,TaskColoring,1/4,256M,1,44.79,14758.39,65.83,119.64
100,TaskColoring 2/4,TaskColoring,2/4,128K,1,32.04,0.0,0.42,1.57
100,TaskColoring 2/4,TaskColoring,2/4,256K,1,32.13,0.0,0.42,1.5
100,TaskColoring 2/4,TaskColoring,2/4,512K,1,32.29,0.01,0.42,1.56
100,TaskColoring 2/4,TaskColoring,2/4,1M,1,32.17,0.04,0.42,1.65
100,TaskColoring 2/4,TaskColoring,2/4,2M,1,33.13,7.28,0.56,2.03
100,TaskColoring 2/4,TaskColoring,2/4,4M,1,33.5,105.85,2.1,6.61
100,TaskColoring 2/4,TaskColoring,2/4,8M,1,40.5,10909.09,52.47,101.52
100,TaskColoring 2/4,TaskColoring,2/4,16M,1,43.5,10692.35,65.85,124.28
100,TaskColoring 2/4,TaskColoring,2/4,32M,1,42.83,9593.54,59.37,110.65
100,TaskColoring 2/4,TaskColoring,2/4,64M,1,43.67,9807.43,60.73,111.46
100,TaskColoring 2/4,TaskColoring,2/4,128M,1,42.33,10051.45,60.32,109.85
100,TaskColoring 2/4,TaskColoring,2/4,256M,1,46.08,9837.26,61.64,113.0
100,TaskColoring 3/4,TaskColoring,3/4,128K,1,32.17,0.0,0.89,1.6
100,TaskColoring 3/4,TaskColoring,3/4,256K,1,32.04,0.0,0.88,1.63
100,TaskColoring 3/4,TaskColoring,3/4,512K,1,32.13,0.0,0.88,1.6
100,TaskColoring 3/4,TaskColoring,3/4,1M,1,32.33,0.03,0.88,1.77
100,TaskColoring 3/4,TaskColoring,3/4,2M,1,32.17,0.27,0.9,2.04
100,TaskColoring 3/4,TaskColoring,3/4,4M,1,33.08,38.92,2.2,5.8
100,TaskColoring 3/4,TaskColoring,3/4,8M,1,38.46,5282.83,48.12,92.75
100,TaskColoring 3/4,TaskColoring,3/4,16M,1,43.42,4241.93,57.1,108.56
100,TaskColoring 3/4,TaskColoring,3/4,32M,1,42.63,4337.39,55.64,104.57
100,TaskColoring 3/4,TaskColoring,3/4,64M,1,44.0,4392.44,57.19,106.19
100,TaskColoring 3/4,TaskColoring,3/4,128M,1,42.71,4832.25,57.8,106.97
100,TaskColoring 3/4,TaskColoring,3/4,256M,1,42.46,4714.96,53.04,100.55
100,C3-Partitioning 1/4,C3,1/4,128K,1,32.83,0.0,0.72,2.02
100,C3-Partitioning 1/4,C3,1/4,256K,1,32.83,0.0,0.73,1.97
100,C3-Partitioning 1/4,C3,1/4,512K,1,33.0,0.01,0.73,2.02
100,C3-Partitioning 1/4,C3,1/4,1M,1,32.83,0.04,0.72,2.05
100,C3-Partitioning 1/4,C3,1/4,2M,1,32.96,7.86,0.8,2.02
100,C3-Partitioning 1/4,C3,1/4,4M,1,33.42,415.05,2.11,3.22
100,C3-Partitioning 1/4,C3,1/4,8M,1,37.42,2401.22,5.98,9.83
100,C3-Partitioning 1/4,C3,1/4,16M,1,38.88,3803.91,8.18,12.76
100,C3-Partitioning 1/4,C3,1/4,32M,1,38.42,3524.57,7.59,12.12
100,C3-Partitioning 1/4,C3,1/4,64M,1,39.63,3557.5,7.59,12.13
100,C3-Partitioning 1/4,C3,1/4,128M,1,38.67,3581.49,7.58,11.84
100,C3-Partitioning 1/4,C3,1/4,256M,1,38.21,3381.02,7.17,11.14
100,C3-Partitioning 2/4,C3,2/4,128K,1,32.08,0.0,0.74,2.61
100,C3-Partitioning 2/4,C3,2/4,256K,1,32.04,0.01,0.75,2.8
100,C3-Partitioning 2/4,C3,2/4,512K,1,32.04,0.02,0.74,2.77
100,C3-Partitioning 2/4,C3,2/4,1M,1,33.54,0.07,0.74,2.58
100,C3-Partitioning 2/4,C3,2/4,2M,1,32.08,2.63,0.75,2.63
100,C3-Partitioning 2/4,C3,2/4,4M,1,32.25,318.5,1.99,3.63
100,C3-Partitioning 2/4,C3,2/4,8M,1,34.83,2885.88,6.34,11.16
100,C3-Partitioning 2/4,C3,2/4,16M,1,36.21,3725.25,7.59,13.01
100,C3-Partitioning 2/4,C3,2/4,32M,1,36.17,3237.51,7.28,12.3
100,C3-Partitioning 2/4,C3,2/4,64M,1,36.21,3496.25,7.03,12.2
100,C3-Partitioning 2/4,C3,2/4,128M,1,36.88,3521.36,6.95,12.02
100,C3-Partitioning 2/4,C3,2/4,256M,1,35.96,3498.88,6.99,11.91
100,C3-Partitioning 3/4,C3,3/4,128K,1,32.17,0.01,1.82,1.94
100,C3-Partitioning 3/4,C3,3/4,256K,1,32.17,0.01,1.82,2.03
100,C3-Partitioning 3/4,C3,3/4,512K,1,32.13,0.01,1.83,1.92
100,C3-Partitioning 3/4,C3,3/4,1M,1,32.04,0.04,1.83,1.99
100,C3-Partitioning 3/4,C3,3/4,2M,1,32.17,1.73,1.84,1.96
100,C3-Partitioning 3/4,C3,3/4,4M,1,32.29,108.38,2.45,2.63
100,C3-Partitioning 3/4,C3,3/4,8M,1,34.38,2231.74,7.77,11.7
100,C3-Partitioning 3/4,C3,3/4,16M,1,35.88,2887.09,8.52,12.55
100,C3-Partitioning 3/4,C3,3/4,32M,1,35.71,2462.58,8.13,12.18
100,C3-Partitioning 3/4,C3,3/4,64M,1,35.67,2418.33,7.99,12.16
100,C3-Partitioning 3/4,C3,3/4,128M,1,36.67,2421.1,7.91,11.53
100,C3-Partitioning 3/4,C3,3/4,256M,1,36.13,2394.43,7.95,11.72
10,Baseline,Baseline,,128K,1,35.67,0.01,29.15,67.69
10,Baseline,Baseline,,256K,1,35.92,0.02,29.1,67.6
