platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3588,idle,128K,Baseline,1,2,,,2,2,not shown (single run; n<5)
RK3588,idle,256K,Baseline,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,512K,Baseline,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,1M,Baseline,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,2M,Baseline,1,1.96,,,1.96,1.96,not shown (single run; n<5)
RK3588,idle,4M,Baseline,1,3.58,,,3.58,3.58,not shown (single run; n<5)
RK3588,idle,8M,Baseline,1,8.33,,,8.33,8.33,not shown (single run; n<5)
RK3588,idle,16M,Baseline,1,10.75,,,10.75,10.75,not shown (single run; n<5)
RK3588,idle,32M,Baseline,1,11.54,,,11.54,11.54,not shown (single run; n<5)
RK3588,idle,64M,Baseline,1,12.92,,,12.92,12.92,not shown (single run; n<5)
RK3588,idle,128M,Baseline,1,12.79,,,12.79,12.79,not shown (single run; n<5)
RK3588,idle,256M,Baseline,1,13.79,,,13.79,13.79,not shown (single run; n<5)
RK3588,idle,128K,WP,1,1.75,,,1.75,1.75,not shown (single run; n<5)
RK3588,idle,256K,WP,1,1.67,,,1.67,1.67,not shown (single run; n<5)
RK3588,idle,512K,WP,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,1M,WP,1,1.67,,,1.67,1.67,not shown (single run; n<5)
RK3588,idle,2M,WP,1,1.75,,,1.75,1.75,not shown (single run; n<5)
RK3588,idle,4M,WP,1,4.04,,,4.04,4.04,not shown (single run; n<5)
RK3588,idle,8M,WP,1,8.71,,,8.71,8.71,not shown (single run; n<5)
RK3588,idle,16M,WP,1,13.42,,,13.42,13.42,not shown (single run; n<5)
RK3588,idle,32M,WP,1,11.25,,,11.25,11.25,not shown (single run; n<5)
RK3588,idle,64M,WP,1,13.25,,,13.25,13.25,not shown (single run; n<5)
RK3588,idle,128M,WP,1,11.96,,,11.96,11.96,not shown (single run; n<5)
RK3588,idle,256M,WP,1,13.96,,,13.96,13.96,not shown (single run; n<5)
RK3588,idle,128K,SP,1,1.83,,,1.83,1.83,not shown (single run; n<5)
RK3588,idle,256K,SP,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,512K,SP,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,1M,SP,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,2M,SP,1,1.88,,,1.88,1.88,not shown (single run; n<5)
RK3588,idle,4M,SP,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,8M,SP,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,16M,SP,1,3.04,,,3.04,3.04,not shown (single run; n<5)
RK3588,idle,32M,SP,1,2.46,,,2.46,2.46,not shown (single run; n<5)
RK3588,idle,64M,SP,1,2.83,,,2.83,2.83,not shown (single run; n<5)
RK3588,idle,128M,SP,1,1.88,,,1.88,1.88,not shown (single run; n<5)
RK3588,idle,256M,SP,1,2.21,,,2.21,2.21,not shown (single run; n<5)
RK3588,idle,128K,C3,1,1.67,,,1.67,1.67,not shown (single run; n<5)
RK3588,idle,256K,C3,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,512K,C3,1,2.04,,,2.04,2.04,not shown (single run; n<5)
RK3588,idle,1M,C3,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,2M,C3,1,1.75,,,1.75,1.75,not shown (single run; n<5)
RK3588,idle,4M,C3,1,1.75,,,1.75,1.75,not shown (single run; n<5)
RK3588,idle,8M,C3,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,16M,C3,1,1.88,,,1.88,1.88,not shown (single run; n<5)
RK3588,idle,32M,C3,1,1.83,,,1.83,1.83,not shown (single run; n<5)
RK3588,idle,64M,C3,1,1.96,,,1.96,1.96,not shown (single run; n<5)
RK3588,idle,128M,C3,1,2.29,,,2.29,2.29,not shown (single run; n<5)
RK3588,idle,256M,C3,1,1.83,,,1.83,1.83,not shown (single run; n<5)
