platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3588,idle,128K,Baseline,1,1.42,,,1.42,1.42,not shown (single run; n<5)
RK3588,idle,256K,Baseline,1,1.79,,,1.79,1.79,not shown (single run; n<5)
RK3588,idle,512K,Baseline,1,1.54,,,1.54,1.54,not shown (single run; n<5)
RK3588,idle,1M,Baseline,1,1.54,,,1.54,1.54,not shown (single run; n<5)
RK3588,idle,2M,Baseline,1,2.25,,,2.25,2.25,not shown (single run; n<5)
RK3588,idle,4M,Baseline,1,3.83,,,3.83,3.83,not shown (single run; n<5)
RK3588,idle,8M,Baseline,1,7.54,,,7.54,7.54,not shown (single run; n<5)
RK3588,idle,16M,Baseline,1,12.83,,,12.83,12.83,not shown (single run; n<5)
RK3588,idle,32M,Baseline,1,14.83,,,14.83,14.83,not shown (single run; n<5)
RK3588,idle,64M,Baseline,1,14.17,,,14.17,14.17,not shown (single run; n<5)
RK3588,idle,128M,Baseline,1,14.83,,,14.83,14.83,not shown (single run; n<5)
RK3588,idle,256M,Baseline,1,15.92,,,15.92,15.92,not shown (single run; n<5)
RK3588,idle,128K,WP,1,1.67,,,1.67,1.67,not shown (single run; n<5)
RK3588,idle,256K,WP,1,1.58,,,1.58,1.58,not shown (single run; n<5)
RK3588,idle,512K,WP,1,1.54,,,1.54,1.54,not shown (single run; n<5)
RK3588,idle,1M,WP,1,1.58,,,1.58,1.58,not shown (single run; n<5)
RK3588,idle,2M,WP,1,1.88,,,1.88,1.88,not shown (single run; n<5)
RK3588,idle,4M,WP,1,3.21,,,3.21,3.21,not shown (single run; n<5)
RK3588,idle,8M,WP,1,9,,,9,9,not shown (single run; n<5)
RK3588,idle,16M,WP,1,10.88,,,10.88,10.88,not shown (single run; n<5)
RK3588,idle,32M,WP,1,14.25,,,14.25,14.25,not shown (single run; n<5)
RK3588,idle,64M,WP,1,15.25,,,15.25,15.25,not shown (single run; n<5)
RK3588,idle,128M,WP,1,13.04,,,13.04,13.04,not shown (single run; n<5)
RK3588,idle,256M,WP,1,14.38,,,14.38,14.38,not shown (single run; n<5)
RK3588,idle,128K,SP,1,1.46,,,1.46,1.46,not shown (single run; n<5)
RK3588,idle,256K,SP,1,1.58,,,1.58,1.58,not shown (single run; n<5)
RK3588,idle,512K,SP,1,1.5,,,1.5,1.5,not shown (single run; n<5)
RK3588,idle,1M,SP,1,1.54,,,1.54,1.54,not shown (single run; n<5)
RK3588,idle,2M,SP,1,1.58,,,1.58,1.58,not shown (single run; n<5)
RK3588,idle,4M,SP,1,1.75,,,1.75,1.75,not shown (single run; n<5)
RK3588,idle,8M,SP,1,1.67,,,1.67,1.67,not shown (single run; n<5)
RK3588,idle,16M,SP,1,2.75,,,2.75,2.75,not shown (single run; n<5)
RK3588,idle,32M,SP,1,1.63,,,1.63,1.63,not shown (single run; n<5)
RK3588,idle,64M,SP,1,2.29,,,2.29,2.29,not shown (single run; n<5)
RK3588,idle,128M,SP,1,2.42,,,2.42,2.42,not shown (single run; n<5)
RK3588,idle,256M,SP,1,2.38,,,2.38,2.38,not shown (single run; n<5)
RK3588,idle,128K,C3,1,1.54,,,1.54,1.54,not shown (single run; n<5)
RK3588,idle,256K,C3,1,1.63,,,1.63,1.63,not shown (single run; n<5)
RK3588,idle,512K,C3,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,1M,C3,1,2.5,,,2.5,2.5,not shown (single run; n<5)
RK3588,idle,2M,C3,1,1.54,,,1.54,1.54,not shown (single run; n<5)
RK3588,idle,4M,C3,1,1.46,,,1.46,1.46,not shown (single run; n<5)
RK3588,idle,8M,C3,1,1.46,,,1.46,1.46,not shown (single run; n<5)
RK3588,idle,16M,C3,1,1.88,,,1.88,1.88,not shown (single run; n<5)
RK3588,idle,32M,C3,1,1.83,,,1.83,1.83,not shown (single run; n<5)
RK3588,idle,64M,C3,1,1.71,,,1.71,1.71,not shown (single run; n<5)
RK3588,idle,128M,C3,1,1.88,,,1.88,1.88,not shown (single run; n<5)
RK3588,idle,256M,C3,1,1.58,,,1.58,1.58,not shown (single run; n<5)
RK3588,stress,128K,Baseline,1,5.17,,,5.17,5.17,not shown (single run; n<5)
RK3588,stress,256K,Baseline,1,5.42,,,5.42,5.42,not shown (single run; n<5)
RK3588,stress,512K,Baseline,1,4.83,,,4.83,4.83,not shown (single run; n<5)
RK3588,stress,1M,Baseline,1,5.58,,,5.58,5.58,not shown (single run; n<5)
RK3588,stress,2M,Baseline,1,5.67,,,5.67,5.67,not shown (single run; n<5)
RK3588,stress,4M,Baseline,1,6.71,,,6.71,6.71,not shown (single run; n<5)
RK3588,stress,8M,Baseline,1,14.5,,,14.5,14.5,not shown (single run; n<5)
RK3588,stress,16M,Baseline,1,17,,,17,17,not shown (single run; n<5)
RK3588,stress,32M,Baseline,1,17.38,,,17.38,17.38,not shown (single run; n<5)
RK3588,stress,64M,Baseline,1,18.92,,,18.92,18.92,not shown (single run; n<5)
RK3588,stress,128M,Baseline,1,18.21,,,18.21,18.21,not shown (single run; n<5)
RK3588,stress,256M,Baseline,1,17.63,,,17.63,17.63,not shown (single run; n<5)
RK3588,stress,128K,WP,1,5.21,,,5.21,5.21,not shown (single run; n<5)
RK3588,stress,256K,WP,1,5.67,,,5.67,5.67,not shown (single run; n<5)
RK3588,stress,512K,WP,1,4.54,,,4.54,4.54,not shown (single run; n<5)
RK3588,stress,1M,WP,1,5.08,,,5.08,5.08,not shown (single run; n<5)
RK3588,stress,2M,WP,1,5.29,,,5.29,5.29,not shown (single run; n<5)
RK3588,stress,4M,WP,1,7.67,,,7.67,7.67,not shown (single run; n<5)
RK3588,stress,8M,WP,1,14.13,,,14.13,14.13,not shown (single run; n<5)
RK3588,stress,16M,WP,1,18.88,,,18.88,18.88,not shown (single run; n<5)
RK3588,stress,32M,WP,1,17.38,,,17.38,17.38,not shown (single run; n<5)
RK3588,stress,64M,WP,1,16.04,,,16.04,16.04,not shown (single run; n<5)
RK3588,stress,128M,WP,1,18.79,,,18.79,18.79,not shown (single run; n<5)
RK3588,stress,256M,WP,1,16.33,,,16.33,16.33,not shown (single run; n<5)
RK3588,stress,128K,SP,1,7.42,,,7.42,7.42,not shown (single run; n<5)
RK3588,stress,256K,SP,1,6.96,,,6.96,6.96,not shown (single run; n<5)
RK3588,stress,512K,SP,1,5.88,,,5.88,5.88,not shown (single run; n<5)
RK3588,stress,1M,SP,1,6.42,,,6.42,6.42,not shown (single run; n<5)
RK3588,stress,2M,SP,1,5.96,,,5.96,5.96,not shown (single run; n<5)
RK3588,stress,4M,SP,1,8.08,,,8.08,8.08,not shown (single run; n<5)
RK3588,stress,8M,SP,1,18,,,18,18,not shown (single run; n<5)
RK3588,stress,16M,SP,1,19.63,,,19.63,19.63,not shown (single run; n<5)
RK3588,stress,32M,SP,1,19.63,,,19.63,19.63,not shown (single run; n<5)
RK3588,stress,64M,SP,1,20.75,,,20.75,20.75,not shown (single run; n<5)
RK3588,stress,128M,SP,1,19.25,,,19.25,19.25,not shown (single run; n<5)
RK3588,stress,256M,SP,1,18.5,,,18.5,18.5,not shown (single run; n<5)
RK3588,stress,128K,C3,1,2.58,,,2.58,2.58,not shown (single run; n<5)
RK3588,stress,256K,C3,1,2.63,,,2.63,2.63,not shown (single run; n<5)
RK3588,stress,512K,C3,1,2.63,,,2.63,2.63,not shown (single run; n<5)
RK3588,stress,1M,C3,1,2.75,,,2.75,2.75,not shown (single run; n<5)
RK3588,stress,2M,C3,1,2.42,,,2.42,2.42,not shown (single run; n<5)
RK3588,stress,4M,C3,1,2.96,,,2.96,2.96,not shown (single run; n<5)
RK3588,stress,8M,C3,1,8.42,,,8.42,8.42,not shown (single run; n<5)
RK3588,stress,16M,C3,1,8,,,8,8,not shown (single run; n<5)
RK3588,stress,32M,C3,1,9.25,,,9.25,9.25,not shown (single run; n<5)
RK3588,stress,64M,C3,1,7.25,,,7.25,7.25,not shown (single run; n<5)
RK3588,stress,128M,C3,1,7.54,,,7.54,7.54,not shown (single run; n<5)
RK3588,stress,256M,C3,1,7.25,,,7.25,7.25,not shown (single run; n<5)
RK3568,idle,128K,Baseline,1,16.71,,,16.71,16.71,not shown (single run; n<5)
RK3568,idle,256K,Baseline,1,17.88,,,17.88,17.88,not shown (single run; n<5)
RK3568,idle,512K,Baseline,1,27.46,,,27.46,27.46,not shown (single run; n<5)
RK3568,idle,1M,Baseline,1,57.13,,,57.13,57.13,not shown (single run; n<5)
RK3568,idle,2M,Baseline,1,41.13,,,41.13,41.13,not shown (single run; n<5)
RK3568,idle,4M,Baseline,1,93.21,,,93.21,93.21,not shown (single run; n<5)
RK3568,idle,8M,Baseline,1,77.42,,,77.42,77.42,not shown (single run; n<5)
RK3568,idle,16M,Baseline,1,65.63,,,65.63,65.63,not shown (single run; n<5)
RK3568,idle,32M,Baseline,1,48.13,,,48.13,48.13,not shown (single run; n<5)
RK3568,idle,64M,Baseline,1,43.21,,,43.21,43.21,not shown (single run; n<5)
RK3568,idle,128M,Baseline,1,50.29,,,50.29,50.29,not shown (single run; n<5)
RK3568,idle,256M,Baseline,1,48.38,,,48.38,48.38,not shown (single run; n<5)
RK3568,idle,128K,WP,1,6.54,,,6.54,6.54,not shown (single run; n<5)
RK3568,idle,256K,WP,1,6.67,,,6.67,6.67,not shown (single run; n<5)
