frequency_hz,method,group,ratio,gpos_vmbytes,runs,t2_max,avg_l2_inval,avg_l2_refill,avg_ll_miss_rd
1000,Baseline,Baseline,,128K,1,34.17,0.00019,0.33473,1.56253
1000,Baseline,Baseline,,256K,1,34.08,0.00021,0.34577,1.50903
1000,Baseline,Baseline,,512K,1,34.25,0.00058,0.33951,1.52857
1000,Baseline,Baseline,,1M,1,34.21,0.11869,0.34266,1.58601
1000,Baseline,Baseline,,2M,1,34.25,6.66657,0.51281,2.25007
1000,Baseline,Baseline,,4M,1,35.08,197.26943,3.08376,10.70258
1000,Baseline,Baseline,,8M,1,42.25,1806.66666,24.94707,57.1957
1000,Baseline,Baseline,,16M,1,44.63,2131.68728,29.81846,65.30481
1000,Baseline,Baseline,,32M,1,44.83,1967.18229,26.70737,58.91861
1000,Baseline,Baseline,,64M,1,45.0,1949.9719,26.44569,57.64084
1000,Baseline,Baseline,,128M,1,43.25,1943.31773,27.87116,60.94146
1000,Baseline,Baseline,,256M,1,45.38,1910.83151,29.3555,62.05216
1000,SP,Set Partition,,128K,1,35.46,0.00069,0.55612,2.54331
1000,SP,Set Partition,,256K,1,34.04,0.00058,0.55886,2.52432
1000,SP,Set Partition,,512K,1,34.29,0.00102,0.5568,2.51452
1000,SP,Set Partition,,1M,1,34.96,0.00789,0.56463,2.51107
1000,SP,Set Partition,,2M,1,34.42,1.24945,0.5972,2.55238
1000,SP,Set Partition,,4M,1,34.88,42.9308,1.51883,3.62278
1000,SP,Set Partition,,8M,1,40.79,324.72,5.79677,13.64701
1000,SP,Set Partition,,16M,1,41.46,467.29104,8.17801,16.55503
1000,SP,Set Partition,,32M,1,41.08,420.20481,7.55471,15.09647
1000,SP,Set Partition,,64M,1,40.54,407.40127,7.32071,14.53486
1000,SP,Set Partition,,128M,1,42.17,422.91085,7.75719,15.09583
1000,SP,Set Partition,,256M,1,41.79,407.57065,7.26594,14.46029
1000,TaskColoring 1/4,TaskColoring,1/4,128K,1,32.46,0.0,0.08,0.51
1000,TaskColoring 1/4,TaskColoring,1/4,256K,1,32.13,0.0,0.08,0.49
1000,TaskColoring 1/4,TaskColoring,1/4,512K,1,32.08,0.0,0.08,0.49
1000,TaskColoring 1/4,TaskColoring,1/4,1M,1,32.13,0.02,0.08,0.51
1000,TaskColoring 1/4,TaskColoring,1/4,2M,1,32.75,4.83,0.11,0.61
1000,TaskColoring 1/4,TaskColoring,1/4,4M,1,34.21,101.89,0.91,2.63
1000,TaskColoring 1/4,TaskColoring,1/4,8M,1,38.13,1645.18,23.83,48.91
1000,TaskColoring 1/4,TaskColoring,1/4,16M,1,41.63,1727.03,23.25,48.25
1000,TaskColoring 1/4,TaskColoring,1/4,32M,1,42.29,1490.22,21.28,44.25
1000,TaskColoring 1/4,TaskColoring,1/4,64M,1,41.0,1587.95,22.48,45.38
