platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3588,idle,128K,Baseline,5,1.96,1.92,2.04,1.92,2.04,run-level percentile bootstrap
RK3588,idle,256K,Baseline,5,1.92,1.92,1.92,1.92,1.92,run-level percentile bootstrap
RK3588,idle,512K,Baseline,5,2,1.92,2.13,1.92,2.13,run-level percentile bootstrap
RK3588,idle,1M,Baseline,5,1.92,1.92,2.38,1.92,2.38,run-level percentile bootstrap
RK3588,idle,2M,Baseline,5,2.29,1.96,2.58,1.96,2.58,run-level percentile bootstrap
RK3588,idle,4M,Baseline,5,4.29,3.71,5.75,3.71,5.75,run-level percentile bootstrap
RK3588,idle,8M,Baseline,5,6.54,5.88,7.63,5.88,7.63,run-level percentile bootstrap
RK3588,idle,16M,Baseline,5,9.71,8.83,12.83,8.83,12.83,run-level percentile bootstrap
RK3588,idle,32M,Baseline,5,11.96,8.58,13.33,8.58,13.33,run-level percentile bootstrap
RK3588,idle,64M,Baseline,5,12.04,10.92,12.79,10.92,12.79,run-level percentile bootstrap
RK3588,idle,128M,Baseline,5,11.54,11,11.83,11,11.83,run-level percentile bootstrap
RK3588,idle,256M,Baseline,5,12.63,11.58,15,11.58,15,run-level percentile bootstrap
RK3588,idle,128K,WP,5,1.96,1.83,2.21,1.83,2.21,run-level percentile bootstrap
RK3588,idle,256K,WP,5,1.96,1.92,2.13,1.92,2.13,run-level percentile bootstrap
RK3588,idle,512K,WP,5,2,1.96,2.13,1.96,2.13,run-level percentile bootstrap
RK3588,idle,1M,WP,5,2.13,1.92,2.96,1.92,2.96,run-level percentile bootstrap
RK3588,idle,2M,WP,5,2.54,1.96,2.88,1.96,2.88,run-level percentile bootstrap
RK3588,idle,4M,WP,5,5.04,4.38,5.58,4.38,5.58,run-level percentile bootstrap
RK3588,idle,8M,WP,5,6.54,6.21,10.08,6.21,10.08,run-level percentile bootstrap
