Platform,Interference,Pressure size,Method,T_resp bin center (us),Bin count,CCDF P(T_resp >= x),Runs,Samples
RK3588,Inter-core interference,16 MiB,Native,30.500,390576,1,5,3000000
RK3588,Inter-core interference,16 MiB,Native,31.500,634754,0.869808,5,3000000
RK3588,Inter-core interference,16 MiB,Native,32.500,827310,0.658223333333,5,3000000
RK3588,Inter-core interference,16 MiB,Native,33.500,829598,0.382453333333,5,3000000
RK3588,Inter-core interference,16 MiB,Native,34.500,266205,0.105920666667,5,3000000
RK3588,Inter-core interference,16 MiB,Native,35.500,45469,0.0171856666667,5,3000000
RK3588,Inter-core interference,16 MiB,Native,36.500,5603,0.00202933333333,5,3000000
RK3588,Inter-core interference,16 MiB,Native,37.500,451,0.000161666666667,5,3000000
RK3588,Inter-core interference,16 MiB,Native,38.500,21,1.13333333333e-05,5,3000000
RK3588,Inter-core interference,16 MiB,Native,39.500,10,4.33333333333e-06,5,3000000
RK3588,Inter-core interference,16 MiB,Native,40.500,2,1e-06,5,3000000
RK3588,Inter-core interference,16 MiB,Native,42.500,1,3.33333333333e-07,5,3000000
RK3588,Inter-core interference,16 MiB,WP,30.500,468250,1,5,3000000
RK3588,Inter-core interference,16 MiB,WP,31.500,519479,0.843916666667,5,3000000
RK3588,Inter-core interference,16 MiB,WP,32.500,754479,0.670757,5,3000000
RK3588,Inter-core interference,16 MiB,WP,33.500,883924,0.419264,5,3000000
RK3588,Inter-core interference,16 MiB,WP,34.500,311142,0.124622666667,5,3000000
RK3588,Inter-core interference,16 MiB,WP,35.500,54927,0.0209086666667,5,3000000
RK3588,Inter-core interference,16 MiB,WP,36.500,7123,0.00259966666667,5,3000000
RK3588,Inter-core interference,16 MiB,WP,37.500,617,0.000225333333333,5,3000000
RK3588,Inter-core interference,16 MiB,WP,38.500,43,1.96666666667e-05,5,3000000
RK3588,Inter-core interference,16 MiB,WP,39.500,4,5.33333333333e-06,5,3000000
RK3588,Inter-core interference,16 MiB,WP,40.500,8,4e-06,5,3000000
RK3588,Inter-core interference,16 MiB,WP,41.500,2,1.33333333333e-06,5,3000000
RK3588,Inter-core interference,16 MiB,WP,42.500,1,6.66666666667e-07,5,3000000
RK3588,Inter-core interference,16 MiB,WP,43.500,1,3.33333333333e-07,5,3000000
RK3588,Inter-core interference,16 MiB,SP,29.500,1,1,5,3000000
RK3588,Inter-core interference,16 MiB,SP,30.500,2683328,0.999999666667,5,3000000
RK3588,Inter-core interference,16 MiB,SP,31.500,316649,0.105557,5,3000000
RK3588,Inter-core interference,16 MiB,SP,32.500,20,7.33333333333e-06,5,3000000
RK3588,Inter-core interference,16 MiB,SP,33.500,1,6.66666666667e-07,5,3000000
RK3588,Inter-core interference,16 MiB,SP,34.500,1,3.33333333333e-07,5,3000000
RK3588,Inter-core interference,16 MiB,HCP4-16,30.500,2276095,1,5,3000000
RK3588,Inter-core interference,16 MiB,HCP4-16,31.500,723801,0.241301666667,5,3000000
RK3588,Inter-core interference,16 MiB,HCP4-16,32.500,104,3.46666666667e-05,5,3000000
RK3588,Inter-core + intra-core interference,16 MiB,Native,30.500,39741,1,5,3000000
RK3588,Inter-core + intra-core interference,16 MiB,Native,31.500,279235,0.986753,5,3000000
RK3588,Inter-core + intra-core interference,16 MiB,Native,32.500,501224,0.893674666667,5,3000000
RK3588,Inter-core + intra-core interference,16 MiB,Native,33.500,662800,0.7266,5,3000000
RK3588,Inter-core + intra-core interference,16 MiB,Native,34.500,781093,0.505666666667,5,3000000
