platform,stimulus_items,variant,n_allocations,median_run_mean_cycles,min_run_mean_cycles,max_run_mean_cycles
RK3588,0,same_candidate,5,78.0,78.0,78.0
RK3588,1,same_candidate,5,78.0,78.0,78.0
RK3588,2,same_candidate,5,78.0,78.0,78.0
RK3588,3,same_candidate,5,78.0,78.0,78.0
RK3588,4,same_candidate,5,94.0,93.0,94.0
RK3588,5,same_candidate,5,85.0,85.0,85.0
RK3588,6,same_candidate,5,85.0,85.0,85.0
RK3588,7,same_candidate,5,98.0,85.0,111.0
RK3588,8,same_candidate,5,110.0,110.0,112.0
RK3588,9,same_candidate,5,111.0,110.0,111.0
RK3588,10,same_candidate,5,111.0,110.0,112.0
RK3588,11,same_candidate,5,111.0,111.0,111.0
RK3588,12,same_candidate,5,111.0,111.0,111.0
RK3588,13,same_candidate,5,111.0,110.0,111.0
RK3588,14,same_candidate,5,111.0,111.0,111.0
RK3588,15,same_candidate,5,111.0,111.0,111.0
RK3588,16,same_candidate,5,111.0,111.0,111.0
RK3588,17,same_candidate,5,112.0,111.0,114.0
RK3588,18,same_candidate,5,127.0,122.0,132.0
RK3588,19,same_candidate,5,282.0,264.0,284.0
RK3588,20,same_candidate,5,283.0,283.0,285.0
RK3588,0,cross_candidate,5,78.0,78.0,78.0
RK3588,1,cross_candidate,5,78.0,78.0,78.0
RK3588,2,cross_candidate,5,78.0,78.0,78.0
RK3588,3,cross_candidate,5,78.0,78.0,78.0
RK3588,4,cross_candidate,5,78.0,78.0,78.0
RK3588,5,cross_candidate,5,78.0,78.0,78.0
RK3588,6,cross_candidate,5,78.0,78.0,78.0
RK3588,7,cross_candidate,5,78.0,78.0,78.0
RK3588,8,cross_candidate,5,78.0,78.0,78.0
RK3588,9,cross_candidate,5,78.0,78.0,78.0
RK3588,10,cross_candidate,5,78.0,78.0,78.0
RK3588,11,cross_candidate,5,78.0,78.0,78.0
RK3588,12,cross_candidate,5,78.0,78.0,84.0
RK3588,13,cross_candidate,5,78.0,78.0,128.0
RK3588,14,cross_candidate,5,205.0,78.0,219.0
RK3588,15,cross_candidate,5,265.0,78.0,277.0
RK3588,16,cross_candidate,5,280.0,279.0,282.0
RK3588,17,cross_candidate,5,281.0,280.0,282.0
RK3588,18,cross_candidate,5,280.0,280.0,281.0
RK3588,19,cross_candidate,5,281.0,280.0,281.0
RK3588,20,cross_candidate,5,281.0,280.0,281.0
RK3568,0,same_candidate,5,27.0,27.0,27.0
RK3568,1,same_candidate,5,28.0,28.0,28.0
RK3568,2,same_candidate,5,29.0,29.0,30.0
RK3568,3,same_candidate,5,60.0,60.0,60.0
RK3568,4,same_candidate,5,56.0,55.0,58.0
RK3568,5,same_candidate,5,55.0,54.0,59.0
RK3568,6,same_candidate,5,171.0,166.0,179.0
RK3568,7,same_candidate,5,258.0,254.0,265.0
RK3568,8,same_candidate,5,271.0,268.0,274.0
RK3568,9,same_candidate,5,247.0,236.0,254.0
RK3568,10,same_candidate,5,242.0,233.0,247.0
RK3568,11,same_candidate,5,250.0,249.0,255.0
RK3568,12,same_candidate,5,288.0,274.0,299.0
RK3568,13,same_candidate,5,345.0,328.0,351.0
RK3568,14,same_candidate,5,342.0,331.0,359.0
RK3568,15,same_candidate,5,356.0,349.0,409.0
RK3568,16,same_candidate,5,355.0,349.0,449.0
RK3568,17,same_candidate,5,392.0,347.0,502.0
RK3568,18,same_candidate,5,451.0,346.0,539.0
RK3568,19,same_candidate,5,461.0,351.0,573.0
RK3568,20,same_candidate,5,545.0,360.0,582.0
RK3568,0,cross_candidate,5,27.0,27.0,27.0
RK3568,1,cross_candidate,5,27.0,27.0,27.0
RK3568,2,cross_candidate,5,27.0,27.0,27.0
RK3568,3,cross_candidate,5,27.0,27.0,28.0
RK3568,4,cross_candidate,5,28.0,27.0,28.0
RK3568,5,cross_candidate,5,29.0,28.0,29.0
RK3568,6,cross_candidate,5,29.0,29.0,30.0
RK3568,7,cross_candidate,5,29.0,29.0,30.0
RK3568,8,cross_candidate,5,31.0,31.0,31.0
RK3568,9,cross_candidate,5,32.0,31.0,32.0
RK3568,10,cross_candidate,5,32.0,32.0,35.0
RK3568,11,cross_candidate,5,32.0,32.0,41.0
RK3568,12,cross_candidate,5,32.0,31.0,38.0
RK3568,13,cross_candidate,5,33.0,32.0,55.0
RK3568,14,cross_candidate,5,73.0,35.0,164.0
RK3568,15,cross_candidate,5,101.0,73.0,224.0
RK3568,16,cross_candidate,5,291.0,281.0,296.0
RK3568,17,cross_candidate,5,294.0,291.0,304.0
RK3568,18,cross_candidate,5,297.0,283.0,302.0
RK3568,19,cross_candidate,5,298.0,276.0,302.0
RK3568,20,cross_candidate,5,301.0,295.0,304.0
