platform,color_bit0,color_bit1,stimulus_color,probe_color,n_allocations,passes_per_allocation,median_run_mean_cycles,min_run_mean_cycles,max_run_mean_cycles,pooled_success_percent,pooled_successes,pooled_repetitions
RK3588,16,17,00,00,5,3,281.0,280.0,281.6666666666667,99.7,14955,15000
RK3588,16,17,00,01,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,00,10,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,00,11,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,01,00,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,01,01,5,3,280.0,278.0,281.0,99.69333333333333,14954,15000
RK3588,16,17,01,10,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,01,11,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,10,00,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,10,01,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,10,10,5,3,280.0,278.3333333333333,281.0,99.65333333333334,14948,15000
RK3588,16,17,10,11,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,11,00,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,11,01,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,11,10,5,3,78.0,78.0,78.0,0.0,0,15000
RK3588,16,17,11,11,5,3,280.6666666666667,278.6666666666667,281.3333333333333,99.74666666666667,14962,15000
