platform,bit,variant,n_allocations,passes_per_allocation,median_run_mean_cycles,min_run_mean_cycles,max_run_mean_cycles
RK3588,0,original_matching,5,3,279.6666666666667,277.6666666666667,281.6666666666667
RK3588,1,original_matching,5,3,279.3333333333333,277.3333333333333,281.0
RK3588,2,original_matching,5,3,278.3333333333333,277.3333333333333,282.0
RK3588,3,original_matching,5,3,280.6666666666667,276.3333333333333,282.0
RK3588,4,original_matching,5,3,279.3333333333333,277.6666666666667,281.3333333333333
RK3588,5,original_matching,5,3,280.6666666666667,277.6666666666667,281.0
RK3588,6,original_matching,5,3,280.3333333333333,277.6666666666667,282.6666666666667
RK3588,7,original_matching,5,3,280.0,278.0,280.3333333333333
RK3588,8,original_matching,5,3,280.3333333333333,279.3333333333333,280.3333333333333
RK3588,9,original_matching,5,3,279.6666666666667,277.6666666666667,281.3333333333333
RK3588,10,original_matching,5,3,280.3333333333333,277.3333333333333,282.0
RK3588,11,original_matching,5,3,280.6666666666667,277.3333333333333,283.3333333333333
RK3588,12,original_matching,5,3,280.0,277.0,281.0
RK3588,13,original_matching,5,3,280.0,277.0,282.0
RK3588,14,original_matching,5,3,280.6666666666667,276.6666666666667,281.6666666666667
RK3588,15,original_matching,5,3,280.6666666666667,275.6666666666667,281.0
RK3588,16,original_matching,5,3,280.0,276.6666666666667,282.0
RK3588,17,original_matching,5,3,280.6666666666667,277.6666666666667,283.0
RK3588,18,original_matching,5,3,280.6666666666667,278.3333333333333,282.3333333333333
RK3588,19,original_matching,5,3,281.0,277.0,282.6666666666667
RK3588,20,original_matching,5,3,280.3333333333333,278.0,282.0
RK3588,21,original_matching,5,3,280.3333333333333,277.0,281.6666666666667
RK3588,22,original_matching,5,3,280.6666666666667,278.3333333333333,281.3333333333333
RK3588,0,probe_only_flipped,5,3,278.6666666666667,277.3333333333333,281.3333333333333
RK3588,1,probe_only_flipped,5,3,279.0,277.6666666666667,281.6666666666667
RK3588,2,probe_only_flipped,5,3,278.3333333333333,277.6666666666667,281.3333333333333
RK3588,3,probe_only_flipped,5,3,280.3333333333333,277.6666666666667,282.0
RK3588,4,probe_only_flipped,5,3,283.6666666666667,281.6666666666667,284.6666666666667
RK3588,5,probe_only_flipped,5,3,280.6666666666667,277.3333333333333,283.3333333333333
RK3588,6,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,7,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,8,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,9,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,10,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,11,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,12,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,13,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,14,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,15,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,16,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,17,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,18,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,19,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,20,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,21,probe_only_flipped,5,3,78.0,78.0,78.0
RK3588,22,probe_only_flipped,5,3,78.0,78.0,78.0
RK3568,0,original_matching,5,3,287.6666666666667,281.3333333333333,291.0
RK3568,1,original_matching,5,3,286.6666666666667,284.0,290.0
RK3568,2,original_matching,5,3,288.3333333333333,286.6666666666667,293.0
RK3568,3,original_matching,5,3,287.3333333333333,279.0,292.6666666666667
RK3568,4,original_matching,5,3,287.6666666666667,283.0,291.0
RK3568,5,original_matching,5,3,285.3333333333333,281.0,290.6666666666667
RK3568,6,original_matching,5,3,288.0,284.6666666666667,293.6666666666667
