bit,stimulus_items,variant,median_mean_cycles,min_mean_cycles,max_mean_cycles,passes
0,0,cross_original_matching,27.0,27.0,28.0,5
0,0,cross_probe_only_flipped,29.0,29.0,30.0,5
0,0,same_original_matching,29.0,28.0,31.0,5
0,0,same_probe_only_flipped,29.0,29.0,30.0,5
0,1,cross_original_matching,28.0,27.0,28.0,5
0,1,cross_probe_only_flipped,29.0,29.0,29.0,5
0,1,same_original_matching,29.0,29.0,30.0,5
0,1,same_probe_only_flipped,30.0,30.0,31.0,5
0,2,cross_original_matching,27.0,27.0,28.0,5
0,2,cross_probe_only_flipped,29.0,29.0,30.0,5
0,2,same_original_matching,30.0,28.0,32.0,5
0,2,same_probe_only_flipped,48.0,46.0,49.0,5
0,3,cross_original_matching,28.0,27.0,29.0,5
0,3,cross_probe_only_flipped,29.0,29.0,30.0,5
0,3,same_original_matching,48.0,47.0,51.0,5
0,3,same_probe_only_flipped,57.0,54.0,60.0,5
0,4,cross_original_matching,27.0,27.0,28.0,5
0,4,cross_probe_only_flipped,29.0,29.0,30.0,5
0,4,same_original_matching,50.0,48.0,53.0,5
0,4,same_probe_only_flipped,59.0,57.0,65.0,5
0,5,cross_original_matching,28.0,27.0,29.0,5
0,5,cross_probe_only_flipped,29.0,29.0,35.0,5
0,5,same_original_matching,54.0,51.0,60.0,5
0,5,same_probe_only_flipped,62.0,56.0,95.0,5
0,6,cross_original_matching,29.0,28.0,29.0,5
0,6,cross_probe_only_flipped,30.0,29.0,30.0,5
0,6,same_original_matching,73.0,66.0,91.0,5
0,6,same_probe_only_flipped,148.0,137.0,157.0,5
0,7,cross_original_matching,31.0,27.0,37.0,5
0,7,cross_probe_only_flipped,32.0,29.0,40.0,5
0,7,same_original_matching,272.0,259.0,286.0,5
0,7,same_probe_only_flipped,254.0,245.0,271.0,5
0,8,cross_original_matching,33.0,29.0,47.0,5
0,8,cross_probe_only_flipped,33.0,30.0,50.0,5
0,8,same_original_matching,285.0,266.0,291.0,5
0,8,same_probe_only_flipped,292.0,281.0,311.0,5
0,9,cross_original_matching,45.0,32.0,58.0,5
0,9,cross_probe_only_flipped,42.0,33.0,72.0,5
0,9,same_original_matching,280.0,272.0,312.0,5
0,9,same_probe_only_flipped,298.0,269.0,309.0,5
0,10,cross_original_matching,51.0,40.0,96.0,5
0,10,cross_probe_only_flipped,50.0,41.0,83.0,5
0,10,same_original_matching,295.0,277.0,304.0,5
0,10,same_probe_only_flipped,299.0,288.0,320.0,5
0,11,cross_original_matching,60.0,33.0,107.0,5
